VGNKennung;VAGKennung;Haltestellenname;Ort;longitude;latitude;GlobalID;Betriebszweig;Dataprovider
101;WT;Weißer Turm;Nürnberg;110309775;492546957;de:9564:101:11:1;U;VAG
101;WT;Weißer Turm;Nürnberg;110309775;492546957;de:9564:101:11:2;U;VAG
148;WEINTR;Weintraubengasse;Nürnberg;110425587;492715204;de:9564:148:0:1;B;VAG
148;WEINTR;Weintraubengasse;Nürnberg;110425433;492715823;de:9564:148:0:2;B;VAG
149;EGID-P;Egidienplatz;Nürnberg;110455508;492720574;de:9564:149:0:1;B;VAG
149;EGID-P;Egidienplatz;Nürnberg;110452198;492721178;de:9564:149:0:2;B;VAG
150;HL-G;Heilig-Geist-Spital;Nürnberg;110442661;492711826;de:9564:150:0:1;B;VAG
151;HAUPTM;Hauptmarkt;Nürnberg;110435969;492715575;de:9564:151:0:1;B;VAG
151;HAUPTM;Hauptmarkt;Nürnberg;110433998;492716152;de:9564:151:0:2;B;VAG
152;RATH;Rathaus;Nürnberg;110443529;492720643;de:9564:152:0:1;B;VAG
152;RATH;Rathaus;Nürnberg;110445349;492721041;de:9564:152:0:2;B;VAG
152;RATH;Rathaus;Nürnberg;110443529;492720643;de:9564:152:0:3;B;VAG
153;MAXTOR;Maxtor;Nürnberg;110454378;492730585;de:9564:153:0:1;B;VAG
153;MAXTOR;Maxtor;Nürnberg;110453166;492730319;de:9564:153:0:2;B;VAG
154;LAUF-T;Laufer Tor;Nürnberg;110518867;492727468;de:9564:154:0:1;B;VAG
155;INNLAU;Innerer Laufer Platz;Nürnberg;110504352;492720464;de:9564:155:0:1;B;VAG
155;INNLAU;Innerer Laufer Platz;Nürnberg;110503123;492723307;de:9564:155:0:2;B;VAG
156;BURGST;Burgstr.;Nürnberg;110439049;492720176;de:9564:156:0:1;B;VAG
156;BURGST;Burgstr.;Nürnberg;110439424;492720545;de:9564:156:0:2;B;VAG
230;BUNR;Bucher Str./Nordring;Nürnberg;110404706;492811535;de:9564:230:13:1;B;VAG
230;BUNR;Bucher Str./Nordring;Nürnberg;110401918;492809709;de:9564:230:13:2;B;VAG
230;BUNR;Bucher Str./Nordring;Nürnberg;110407299;492809403;de:9564:230:13:3;B;VAG
230;BUNR;Bucher Str./Nordring;Nürnberg;110405023;492807583;de:9564:230:13:4;B;VAG
230;BUNR;Bucher Str./Nordring;Nürnberg;110404756;492808212;de:9564:230:13:6;B;VAG
230;BUNR;Bucher Str/ Nordring;Nürnberg;110405585;492808406;de:9564:230:12:11;T;VAG
230;BUNR;Bucher Str/ Nordring;Nürnberg;110405276;492808365;de:9564:230:12:12;T;VAG
231;JUVENE;Juvenellstraße;Nürnberg;110409775;492757992;de:9564:231:13:1;B;VAG
231;JUVENE;Juvenellstraße;Nürnberg;110409825;492757279;de:9564:231:13:2;B;VAG
231;JUVENE;Juvenellstraße;Nürnberg;110410423;492757636;de:9564:231:13:3;B;VAG
231;JUVENE;Juvenellstraße;Nürnberg;110409328;492757416;de:9564:231:13:4;B;VAG
231;JUVENE;Juvenellstr.;Nürnberg;110409775;492757992;de:9564:231:12:11;T;VAG
231;JUVENE;Juvenellstr.;Nürnberg;110409876;492757279;de:9564:231:12:12;T;VAG
232;FRIE;Friedr.-Ebert-Platz;Nürnberg;110418185;492744195;de:9564:232:3:5;B;VAG
232;FRIE;Friedr.-Ebert-Platz;Nürnberg;110417745;492744167;de:9564:232:3:6;B;VAG
232;FRIE;Friedr.-Ebert-Platz;Nürnberg;110416003;492746026;de:9564:232:3:Umst.;B;VAG
232;FRIET;Frd.-Ebert-Platz;Nürnberg;110418476;492743801;de:9564:232:12:11;T;VAG
232;FRIET;Frd.-Ebert-Platz;Nürnberg;110418321;492743344;de:9564:232:12:12;T;VAG
232;FE;Frd.-Ebert-Platz;Nürnberg;110418185;492744195;de:9564:232:11:1;U;VAG
232;FE;Frd.-Ebert-Platz;Nürnberg;110418185;492744195;de:9564:232:11:2;U;VAG
233;TIERGT;Tiergärtnertor;Nürnberg;110423692;492729748;de:9564:233:12:11;T;VAG
233;TIERGT;Tiergärtnertor;Nürnberg;110422605;492728890;de:9564:233:12:12;T;VAG
233;TIERGT;Tiergärtnertor;Nürnberg;110423588;492731460;de:9564:233:13:1;B;VAG
233;TIERGT;Tiergärtnertor;Nürnberg;110422321;492729314;de:9564:233:13:2;B;VAG
233;TIERGT;Tiergärtnertor;Nürnberg;110410074;492729286;de:9564:233:13:4;B;VAG
234;HALL;Hallertor;Nürnberg;110414512;492717553;de:9564:234:13:1;B;VAG
234;HALL;Hallertor;Nürnberg;110414395;492718459;de:9564:234:13:2;B;VAG
234;HALL;Hallertor;Nürnberg;110414048;492720145;de:9564:234:13:3;B;VAG
234;HALL;Hallertor;Nürnberg;110412795;492719489;de:9564:234:13:4;B;VAG
234;HALL;Hallertor;Nürnberg;110412795;492719489;de:9564:234:13:5;B;VAG
234;HALL;Hallertor;Nürnberg;110412500;492720235;de:9564:234:13:6;B;VAG
234;HALL;Hallertor;Nürnberg;110412558;492725066;de:9564:234:17:7;B;VAG
234;HALL;Hallertor;Nürnberg;110408997;492725495;de:9564:234:17:8;B;VAG
234;HALL;Hallertor;Nürnberg;110413728;492719587;de:9564:234:12:11;T;VAG
234;HALL;Hallertor;Nürnberg;110413221;492719489;de:9564:234:12:12;T;VAG
235;WEST;Westfriedhof;Nürnberg;110301022;492742130;de:9564:235:12:11;T;VAG
235;WEST;Westfriedhof;Nürnberg;110258174;492740881;de:9564:235:12:12;T;VAG
235;WEST;Westfriedhof;Nürnberg;110300547;492740489;de:9564:235:12:13;T;VAG
235;WEST;Westfriedhof;Nürnberg;110257537;492740773;de:9564:235:13:1;B;VAG
235;WEST;Westfriedhof;Nürnberg;110257829;492742372;de:9564:235:13:2;B;VAG
